Area,Zmed,Slope,Aspect,Lmax
0.20145000373383581,0.20059853622246626,0.19632369268623884,0.32092658671049223,0.06826995042714668
0.195462945913922,0.21642709586745168,0.2738954451526121,0.3496592517237852,0.06039067375768259
0.21574146211660528,0.20538948484672792,0.2687522266319211,0.30971836436625466,0.07556759525550372
0.2017502567720717,0.19233723548922244,0.2747892186940132,0.3436989984829596,0.07845449486269285
0.2241995212296627,0.19135791489834708,0.21510156071016007,0.34119166164242276,0.06131427901434705
0.1790609110457022,0.21014631109301174,0.2778937759049349,0.3189420294073826,0.061007957984801076
0.20644340727470134,0.21191366205192896,0.23577415022030213,0.35552125008824975,0.09186982648821806
0.18460962547726067,0.22565079531054044,0.240710381154444,0.3617773895832842,0.07286286655175067
0.1771122360474735,0.1873658772814385,0.2757812123202301,0.3295229923491575,0.07458268825720249
0.17772736279001178,0.2199968593846705,0.2883792056285036,0.32442359392053455,0.079377666012318
0.21203944200269975,0.19440616972565072,0.2286815172791733,0.32335341724860256,0.09139706381178103
0.20562670313324438,0.2164592116282581,0.2571424739446625,0.3712559751197556,0.070162048660378
0.20124979602731152,0.19039239661695984,0.29595788694489644,0.343753657720933,0.07266608253790352
0.1963712973488635,0.22292646386294934,0.2730500450476403,0.3418958717663947,0.05072067237006839
0.2060991441928245,0.20807074117833368,0.2755201125711515,0.33705160723537597,0.0755898892510859
0.20632288564965118,0.24230081770719636,0.22769189293549252,0.3710319295631085,0.07702584643266219
0.181226288930725,0.19858810264602367,0.2913298607443824,0.3389683107755408,0.07210006677046854
0.2292028442056805,0.21685067801591795,0.2581064931796144,0.3389789344858598,0.0854888583181741
0.15264871144190117,0.19321271428324294,0.24528633910373998,0.31152425021556407,0.06788170767057289
0.19936372717726591,0.2395199110309021,0.2513117547816398,0.3389419876432055,0.05487843812750759
0.19349781713910386,0.21788640495546985,0.23391793657004556,0.3509691282405195,0.0705999188663684
0.1969279493172219,0.23224189012422236,0.23419685437422189,0.36327317480611065,0.07218029362550105
0.15558959592825483,0.2355421405144974,0.22387887403012907,0.3741646658855644,0.07431656309938184
0.21250902931995308,0.21398644094452401,0.28508629314992684,0.3092686655490424,0.06959185162946002
0.1822009787861698,0.20840773230120724,0.261234300603538,0.34088892929600745,0.07536955382518085
0.1987847590924795,0.21866307691692577,0.21298034662059606,0.3332289853222947,0.06684945703928902
0.2108799724860071,0.19928990641701982,0.24531870817475865,0.33598949273711276,0.0628034820629676
0.1598430348233304,0.1895339502059289,0.23393415350622115,0.35297635356348034,0.08079343306417841
0.18356229860282003,0.2056967130225994,0.2472297835513384,0.36989749139185635,0.07627638206667753
0.1891624193284993,0.20339773511944592,0.2470948896922719,0.32025341815486474,0.07707299207144658
0.1781283893704233,0.17644862581394583,0.2545851988956992,0.31810733736881114,0.06333323478503172
0.18775253964845628,0.22040898056486846,0.22342463623111686,0.370917713827531,0.07335201416336656
0.19773241736446578,0.2146582017520906,0.2048071451730561,0.3203013647240137,0.060651056972530704
0.16346831627811165,0.18730261103101142,0.2865947103678833,0.33708056231710304,0.06826494752070889
0.20002853576627688,0.21889361432231758,0.24924352626581137,0.31084923300741607,0.06845522931834502
0.21378206272430977,0.18698939934006265,0.23627114621184597,0.3394639263447736,0.08154575820360987
0.19376862994598076,0.1900297649515832,0.24664731969737352,0.3559616339252897,0.07525514522497845
0.2163591102918454,0.2041327051726064,0.21313277855079982,0.33331336016361235,0.0615003548915265
0.1673062177144099,0.20711193712961284,0.27840295041109175,0.3233890203295652,0.0687446052671612
0.1852807761355154,0.2150542505259092,0.2500035546362557,0.3244221481501125,0.07348205778558126
0.16334079915362842,0.21772185173747372,0.23959789015176214,0.3374751856861794,0.08155942358039447
0.19822994027595997,0.1988355023113405,0.2502610435597753,0.31933002597553284,0.0649635934495365
0.1839915231417404,0.21753368308500065,0.2135087353115076,0.3124744417097487,0.06985076068182461
