site_name,Date,AAR,ELA_from_AAR_m,Cumulative_Positive_Degree_Days,Cumulative_Snowfall_mwe,Mean_Annual_Air_Temp_Range,Mean_Annual_Precipitation_Max,PA_Ratio,O1Region,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Hypsometric_Index,Hypsometric_Index_Category,Week,Year
Gulkana,2017-08-08,0.21837424,2047.74,359.3030350471522,0.4943636993726458,41.57862612144535,0.8745757593245874,9.448762749020023,1.0,2.0,17.567,1162,2438,1858,14.0,172,-1.1400534622944591,Equidimensional,32,2017
Gulkana,2019-08-08,0.49006796,1880.94,466.4402014099748,0.6774427182808052,41.57862612144535,0.8745757593245874,9.448762749020023,1.0,2.0,17.567,1162,2438,1858,14.0,172,-1.1400534622944591,Equidimensional,32,2019
Gulkana,2019-08-08,0.38461387,1931.12,466.4402014099748,0.6774427182808052,41.57862612144535,0.8745757593245874,9.448762749020023,1.0,2.0,17.567,1162,2438,1858,14.0,172,-1.1400534622944591,Equidimensional,32,2019
Gulkana,2019-08-08,0.45381448,1897.32,466.4402014099748,0.6774427182808052,41.57862612144535,0.8745757593245874,9.448762749020023,1.0,2.0,17.567,1162,2438,1858,14.0,172,-1.1400534622944591,Equidimensional,32,2019
Gulkana,2020-08-04,1.0,1252.22265625,254.6125137337944,0.953176684630759,41.57862612144535,0.8745757593245874,9.448762749020023,1.0,2.0,17.567,1162,2438,1858,14.0,172,-1.1400534622944591,Equidimensional,32,2020
Gulkana,2020-08-04,0.9548295,1381.93,254.6125137337944,0.953176684630759,41.57862612144535,0.8745757593245874,9.448762749020023,1.0,2.0,17.567,1162,2438,1858,14.0,172,-1.1400534622944591,Equidimensional,32,2020
Gulkana,2020-08-07,0.5330703,1854.36,267.1162714490781,0.9570833571003432,41.57862612144535,0.8745757593245874,9.448762749020023,1.0,2.0,17.567,1162,2438,1858,14.0,172,-1.1400534622944591,Equidimensional,32,2020
Gulkana,2020-08-07,0.6729285,1755.65,267.1162714490781,0.9570833571003432,41.57862612144535,0.8745757593245874,9.448762749020023,1.0,2.0,17.567,1162,2438,1858,14.0,172,-1.1400534622944591,Equidimensional,32,2020
Gulkana,2021-08-13,0.9404698,1406.05,358.090435970843,0.7315517534787578,41.57862612144535,0.8745757593245874,9.448762749020023,1.0,2.0,17.567,1162,2438,1858,14.0,172,-1.1400534622944591,Equidimensional,32,2021
RGI60-01.00032,2019-08-11,0.21006963,2506.3037,379.14379003455855,0.6119141454044034,40.516695255209385,0.7325121433556622,8.612586419413635,1.0,2.0,14.205,1411,3134,2104,21.0,291,1.4900821447372437,Bottom heavy,32,2019
RGI60-01.00032,2020-08-05,0.29525653,2375.0352,195.2763555170292,0.7723526926617557,40.516695255209385,0.7325121433556622,8.612586419413635,1.0,2.0,14.205,1411,3134,2104,21.0,291,1.4900821447372437,Bottom heavy,32,2020
RGI60-01.00032,2020-08-07,0.31740022,2344.2593,201.7249701712355,0.7730934609165353,40.516695255209385,0.7325121433556622,8.612586419413635,1.0,2.0,14.205,1411,3134,2104,21.0,291,1.4900821447372437,Bottom heavy,32,2020
RGI60-01.00032,2022-08-10,0.95989203,1472.2281,273.0005357768188,0.6978424424776537,40.516695255209385,0.7325121433556622,8.612586419413635,1.0,2.0,14.205,1411,3134,2104,21.0,291,1.4900821447372437,Bottom heavy,32,2022
RGI60-01.00033,2013-08-07,0.08487283,2745.959,462.6335069386656,0.4538518118475131,41.22659744682628,0.7207530683519563,8.891760641628629,1.0,2.0,4.604,1109,3160,1718,25.0,347,2.3636138439178467,Very bottom heavy,32,2013
RGI60-01.00033,2018-08-10,0.41787004,2020.9977,312.0568315279592,0.6644305371991066,41.22659744682628,0.7207530683519563,8.891760641628629,1.0,2.0,4.604,1109,3160,1718,25.0,347,2.3636138439178467,Very bottom heavy,32,2018
RGI60-01.00033,2022-08-10,0.8628857,1302.9862,383.43503055397696,0.6856011603979784,41.22659744682628,0.7207530683519563,8.891760641628629,1.0,2.0,4.604,1109,3160,1718,25.0,347,2.3636138439178467,Very bottom heavy,32,2022
RGI60-01.00033,2023-08-07,0.019073721,2900.48,382.0380636861228,0.5775260874855681,41.22659744682628,0.7207530683519563,8.891760641628629,1.0,2.0,4.604,1109,3160,1718,25.0,347,2.3636138439178467,Very bottom heavy,32,2023
