snowline_elevs_median_m,AAR,Cumulative_Positive_Degree_Days,Area,Zmin,Zmax,Zmed,Slope,Aspect
499.0,0.7028884,644.512805347072,16.749,426,1636,1267,11.0,188
1209.0,0.833401,644.512805347072,16.749,426,1636,1267,11.0,188
1125.0,0.8971414,644.512805347072,16.749,426,1636,1267,11.0,188
1125.0,0.8911008,644.512805347072,16.749,426,1636,1267,11.0,188
786.0,0.9203197,94.06696545887952,16.749,426,1636,1267,11.0,188
787.0,0.85432446,94.06696545887952,16.749,426,1636,1267,11.0,188
786.0,0.9156961,94.06696545887952,16.749,426,1636,1267,11.0,188
474.0,0.999974,2.959743817294348,16.749,426,1636,1267,11.0,188
474.0,0.9997404,2.959743817294348,16.749,426,1636,1267,11.0,188
474.0,0.9999481,2.959743817294348,16.749,426,1636,1267,11.0,188
480.0,0.99994165,2.959743817294348,16.749,426,1636,1267,11.0,188
1128.5,0.36223808,1087.095536516527,16.749,426,1636,1267,11.0,188
1117.0,0.45626634,1087.095536516527,16.749,426,1636,1267,11.0,188
1114.5,0.48164114,1087.095536516527,16.749,426,1636,1267,11.0,188
977.0,0.91165054,303.66519680699645,16.749,426,1636,1267,11.0,188
932.0,0.9318349,303.66519680699645,16.749,426,1636,1267,11.0,188
979.0,0.91105497,303.66519680699645,16.749,426,1636,1267,11.0,188
1198.0,0.83580935,820.0853334027197,16.749,426,1636,1267,11.0,188
1165.0,0.6886698,1320.1946328820186,16.749,426,1636,1267,11.0,188
518.0,0.8626371,1320.1946328820186,16.749,426,1636,1267,11.0,188
1153.0,0.6861117,1320.1946328820186,16.749,426,1636,1267,11.0,188
474.0,0.8775909,1320.1946328820186,16.749,426,1636,1267,11.0,188
474.0,0.9959968,853.7943729250079,16.749,426,1636,1267,11.0,188
495.0,0.89737844,853.7943729250079,16.749,426,1636,1267,11.0,188
474.0,0.99463224,853.7943729250079,16.749,426,1636,1267,11.0,188
1196.0,0.61161095,758.2067533840543,16.749,426,1636,1267,11.0,188
472.0,0.89148647,0.0,16.749,426,1636,1267,11.0,188
474.0,0.99995977,0.0,16.749,426,1636,1267,11.0,188
474.0,0.9989209,0.0,16.749,426,1636,1267,11.0,188
474.0,0.9999732,0.0,16.749,426,1636,1267,11.0,188
472.0,0.991601,0.0,16.749,426,1636,1267,11.0,188
1198.0,0.6545836,572.0883142927237,16.749,426,1636,1267,11.0,188
1236.0,0.6076756,572.0883142927237,16.749,426,1636,1267,11.0,188
1191.0,0.6608936,572.0883142927237,16.749,426,1636,1267,11.0,188
,1.0,0.0,16.749,426,1636,1267,11.0,188
,1.0,0.0,16.749,426,1636,1267,11.0,188
1028.0,0.75505644,533.266320524644,16.749,426,1636,1267,11.0,188
961.0,0.83249813,533.266320524644,16.749,426,1636,1267,11.0,188
1055.0,0.76628035,533.266320524644,16.749,426,1636,1267,11.0,188
1077.0,0.7446929,533.266320524644,16.749,426,1636,1267,11.0,188
1199.0,0.5271644,1048.687953181626,16.749,426,1636,1267,11.0,188
1365.0,0.5847232,1048.687953181626,16.749,426,1636,1267,11.0,188
